date,ticker,news_window_days,raw_news_count,filtered_news_count,news_count,positive_news,negative_news,neutral_news,high_impact_news,risk_news_count,risk_weighted_hits,historical_catalyst_score,historical_risk_score,news_start_date,news_end_date,top_news_titles
2026-02-13,META,30,488,353,353,60,7,286,160,76,83.6,0.9188,0.5228,2026-01-14,2026-02-13,"Uh-Oh! Is Meta Platforms Following in Enron's Footsteps? | Daniel Newman on Futurum's ""AI 15,"" PLTR Upside Potential & ""Best Idea"" in META | Meta begins construction of $10 billion Indiana data center to boost AI capabilities"
2026-02-13,TSLA,30,484,398,398,13,7,378,147,71,77.5,0.7455,0.63,2026-01-14,2026-02-13,"Maye Musk Says She's A 'Proud Mom' As Elon Musk Tops List Of 'America's Greatest Innovators,' Beats Jeff Bezos And Jensen Huang | TSLA, PLTR and SCMI Forecast – Tech Stocks Look Pressured Early on Wednesday | I Predicted Tesla Would Be Unprofitable. I Was Dead Wrong."
2026-02-13,TXN,30,115,82,82,12,1,69,31,20,21.3,0.9067,0.4555,2026-01-14,2026-02-13,My Top 8 Tech Picks For Income Amid The AI Correction | Texas Instruments Executes a $7.5B Deal and an AI Strategy Pivot | Texas Instruments to acquire Silicon Labs in $7.5B all-cash deal
2026-02-20,AMAT,30,142,108,108,15,3,90,35,39,40.4,0.86,0.25,2026-01-21,2026-02-20,Earnings Estimates Moving Higher for Applied Materials (AMAT): Time to Buy? | Applied Materials (AMAT) Upgraded to Strong Buy: Here's Why | Is Applied Materials The New Sector King?
2026-02-20,GOOGL,30,500,369,369,56,6,307,136,61,61.8,0.9234,0.688,2026-01-21,2026-02-20,"Zillow and Google bring home-buying guidance to NotebookLM | Alphabet Teams Up With Sea on AI for Shopee, Garena | Amazon vs. Alphabet: Which Is the Better AI Stock to Buy Now?"
2026-02-20,META,30,491,345,345,47,10,288,113,73,78.9,0.8695,0.5399,2026-01-21,2026-02-20,"Yann LeCun Says LLMs Are 'Incredibly' Useful, But AI Still Can't Learn To Drive A Car Like A 17-Year Old: 'We're Missing Something Big' | Meta Slashes Employee Equity For Second Year As Mark Zuckerberg-Led Tech Giant Gears Up To Fund Mega $135 Billion 'Superintelligence' Infrastructure | First Look: Walmart beat, Meta trial, FDA eyes Moderna"
2026-02-20,TSLA,30,486,395,395,12,7,376,121,72,78.4,0.7333,0.6198,2026-01-21,2026-02-20,"TSLA, PLTR and SMCI Forecasts – Tech Stocks Mixed Early on Thursday as Traders Uncertain | Tesla's Renaissance Has Come (Rating Upgrade) | The Energy Revolution System Explained: Tesla Patent Context, Consumer Disclosures, and What to Know Before Buying in 2026"
2026-02-20,TXN,30,102,84,84,12,3,69,31,22,23.3,0.8353,0.408,2026-01-21,2026-02-20,My Top 8 Tech Picks For Income Amid The AI Correction | Texas Instruments Executes a $7.5B Deal and an AI Strategy Pivot | Texas Instruments to acquire Silicon Labs in $7.5B all-cash deal
2026-02-27,AMAT,30,142,113,113,17,3,93,33,40,41.4,0.8727,0.25,2026-01-28,2026-02-27,AI Spending Is Poised to Hit $700 Billion in 2026. 2 Top Stocks to Buy to Capitalize on This Massive Number. | Earnings Estimates Moving Higher for Applied Materials (AMAT): Time to Buy? | Applied Materials (AMAT) Upgraded to Strong Buy: Here's Why
2026-02-27,COST,30,190,116,116,7,7,102,10,43,43.3,0.65,0.25,2026-01-28,2026-02-27,Costco's 2x P/E Over Amazon Is Not Irrational (Rating Upgrade) | Where Will Costco Be in 5 Years? | Consumer Staples ETFs: Sector-Wide Defense or a Food-and-Beverage Tilt? VDC vs. PBJ
2026-02-27,META,30,489,349,349,33,11,305,89,70,74.9,0.8174,0.5744,2026-01-28,2026-02-27,"Google Scores Major Win As Meta Reportedly Agrees To Multi-Year AI Chip Rental Deal, Challenging Nvidia's Dominance | Google signs multibillion-dollar AI chip deal with Meta, Information reports | Woman Suing Meta, YouTube Testifies It's ‘Too Hard to Be Without' Social Media"
2026-02-27,TSLA,30,487,406,406,12,8,386,100,83,93.6,0.7136,0.5445,2026-01-28,2026-02-27,"Every ""Magnificent Seven"" Stock Is Underperforming the S&P 500 in 2026. Here's One to Buy and One to Avoid. | German union says settlement reached in dispute with Tesla | Palantir Billionaire Peter Thiel Dumped Nvidia, Tesla, Microsoft, and Apple. What Stocks Does He Own for 2026?"
2026-02-27,TXN,30,91,74,74,11,3,60,21,21,22.3,0.825,0.3461,2026-01-28,2026-02-27,Why Is Texas Instruments (TXN) Down 1.1% Since Last Earnings Report? | My Top 8 Tech Picks For Income Amid The AI Correction | Texas Instruments Executes a $7.5B Deal and an AI Strategy Pivot
2026-03-06,AMAT,30,133,105,105,16,2,87,34,34,35.5,0.895,0.2693,2026-02-04,2026-03-06,"AMAT Climbs 33.4% in 3 Months: Time to Buy, Sell or Hold the Stock? | NeoMagic (OTCMKTS:NMGC) vs. Applied Materials (NASDAQ:AMAT) Financial Comparison | AI Spending Is Poised to Hit $700 Billion in 2026. 2 Top Stocks to Buy to Capitalize on This Massive Number."
2026-03-06,GOOGL,30,499,359,359,52,7,300,97,52,52.5,0.9082,0.744,2026-02-04,2026-03-06,"AVGO Catching Up to NVDA? GOOGL Partnership & Earnings Growth Back Bulls | Google lowering fees on Android app store following settlement with Epic Games | Google's AI chatbot allegedly told user to stage 'mass casualty attack,' wrongful death suit claims"
2026-03-06,ISRG,30,50,44,44,4,1,39,3,14,13.9,0.8,0.3054,2026-02-04,2026-03-06,Can Digital Subscriptions Become ISRG's New Revenue Stream in 2026? | Will ISRG's R&D Focus Following Solid Earnings Growth Drive Demand? | Can Intuitive Surgical Sustain Robust Top-line Growth in 2026?
2026-03-06,META,30,487,349,349,18,12,319,78,69,74.6,0.7156,0.5788,2026-02-04,2026-03-06,"Meta to Open Up WhatsApp to Rival AI Chatbots for a Fee Following EU Objections | Meta will allow rival AI chatbots on WhatsApp in Europe, but for a fee | AMD Shares Rise on Meta AI Deal, Chip Demand"
2026-03-06,NFLX,30,370,292,292,14,9,269,100,14,16.5,0.72,0.9894,2026-02-04,2026-03-06,"Netflix Buys Ben Affleck's AI Company Shortly After Ditching Warner Bros. Acquisition | Netflix Acquires InterPositive, Ben Affleck's AI Filmmaking Company | Netflix Gets Back In The M&A Game, Acquiring Ben Affleck-Founded AI Firm InterPositive"
2026-03-13,CSCO,30,115,90,90,12,4,74,34,28,27.5,0.8056,0.3222,2026-02-11,2026-03-13,Cisco Q2: The Valuation Makes No Sense | Cisco: The Only Undervalued 'Full-Stack' AI Play | Cisco's Networking Revenue Growth Picks Up: More Upside Ahead?
2026-03-13,GOOGL,30,407,279,279,28,4,247,57,39,41.1,0.8971,0.7476,2026-02-11,2026-03-13,"If I Had $5,000 to Invest in Artificial Intelligence (AI), I'd Put It in This Stock | AI's Next Steps & GOOGL, META, AMZN ""Early Monetizers"" Leading Momentum | Alphabet Spins Off Fiber Control, Keeps a Seat at the Table"
2026-03-13,ISRG,30,48,40,40,10,0,30,4,10,10.9,0.9417,0.4284,2026-02-11,2026-03-13,"Intuitive Surgical Stock: Buy, Sell, or Hold? | Intuitive Surgical Poised for Growth in 2026 on da Vinci 5 Momentum | Can Digital Subscriptions Become ISRG's New Revenue Stream in 2026?"
2026-03-13,META,30,490,346,346,15,15,316,80,56,58.7,0.65,0.6881,2026-02-11,2026-03-13,"AI's Next Steps & GOOGL, META, AMZN ""Early Monetizers"" Leading Momentum | I Thought the ‘Magnificent Seven’ Trade Was Toast Until I Saw What Meta Is Doing With Its AI Chips | Meta rolls out in-house AI chips weeks after massive Nvidia, AMD deals"
2026-03-13,NFLX,30,362,292,292,16,8,268,96,14,16.0,0.7577,0.9922,2026-02-11,2026-03-13,Link: Netflix simpler story without Warner Bros. Discovery deal | Netflix Has No Rivals | Netflix's AI Drive Followed by This TV Group. It Just Struck a Deal With Google.
2026-03-20,AMAT,30,82,71,71,7,1,63,6,31,31.9,0.86,0.25,2026-02-18,2026-03-20,"Applied Materials Raises Quarterly Cash Dividend by 15 Percent | AMAT Climbs 33.4% in 3 Months: Time to Buy, Sell or Hold the Stock? | NeoMagic (OTCMKTS:NMGC) vs. Applied Materials (NASDAQ:AMAT) Financial Comparison"
2026-03-20,GOOGL,30,372,269,269,21,5,243,52,42,44.3,0.85,0.7022,2026-02-18,2026-03-20,Google expands utility deals to curb data‑center power use during peak demand | GOOGL's Wiz Buyout Expands Cloud Security Portfolio: What's Ahead? | Google Sits Pretty as A.I. Rivals Compete for Pentagon Favor
2026-03-20,ISRG,30,50,45,45,11,0,34,4,14,14.9,0.9462,0.2807,2026-02-18,2026-03-20,"2 Stocks That Could Create Lasting Generational Wealth | Intuitive Surgical Stock: Buy, Sell, or Hold? | Intuitive Surgical Poised for Growth in 2026 on da Vinci 5 Momentum"
2026-03-20,META,30,492,378,378,15,12,351,84,67,68.7,0.6862,0.6523,2026-02-18,2026-03-20,Meta on trial over child safety: can it really protect its next generation of users? | Meta is having trouble with rogue AI agents | China Ramps Up Scrutiny of Meta's Acquisition of Manus
2026-03-20,NFLX,30,340,272,272,16,7,249,81,17,19.0,0.776,0.9546,2026-02-18,2026-03-20,"Crashing 51%, 3 Reasons to Buy This Netflix Rival in March and Hold for 5 Years | AMZN, NFLX and AAPL Forecasts – Big Three Sluggish Ahead of Fed | Netflix vs. Disney: Which Streaming Giant Is the Better Buy for 2026 and Beyond?"
