date,ticker,ml_datadate,ml_available_from,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score,mom_20d,mom_60d,vol_20d,drawdown_60d,z_mom_20d,z_mom_60d,z_vol_20d,z_drawdown_60d,technical_score,z_technical_score,finrl_score,rank,selected
2026-01-09,AAPL,2025-09-30,2025-12-01,growth_tech,Stacking,0.055621831251935316,0.052880933788374586,0.01252882682543476,-0.06962476290258623,0.04783240093579533,0.006952010916980673,-0.09486699212635674,-0.9977280978511168,-0.0627275450075551,-1.336522352781033,0.7482898653244209,-0.145738540443494,-0.2013003014752019,-0.0730028244948199,11,0
2026-01-09,NVDA,2025-09-30,2025-12-01,growth_tech,Stacking,0.051270972097956787,0.05857949009308425,-0.07315665548088611,0.005876587592001492,0.02688606994062126,0.019145259734757065,-0.17431645591639244,0.2473547222850585,-0.19922744461110778,0.3338825050505976,-0.5891706391410076,-0.07978715637155472,-0.11020543078424959,-0.08797616560223151,12,0
2026-01-09,ISRG,2025-09-30,2025-12-01,defensive,RF,-0.011923773495761618,-0.019503967396510637,-1.317709067726067,0.0545402364662233,0.3433854363204414,0.015404215014803506,-0.06314023546093395,1.0498605421349443,1.863288026255224,-0.17861907405811117,1.2823813739459067,1.2271260245466136,1.694958917096296,-0.11264187379712176,13,0
2026-01-09,ADBE,2025-09-30,2025-12-01,growth_tech,Stacking,0.053681900817040655,0.008870093764311575,-0.02567601251133411,-0.026753686780951913,-0.005923647734455417,0.015311060150327396,-0.13200524931846092,-0.29074683181901473,-0.41303687833488045,-0.19138075394154677,0.12310059620127232,-0.2198444674334548,-0.3036585754004321,-0.13686903766697334,14,0
2026-01-09,AMGN,2025-09-30,2025-12-01,defensive,RF,0.016664531245288324,0.008906111003527551,-0.7546932142211408,0.03399077251897453,0.11766501893912462,0.015934110848166753,-0.09150113314785258,0.7109820405436216,0.3923471575121298,-0.106026396960907,0.8049510840740717,0.5181133892982372,0.7156403594182541,-0.1665597847653828,15,0
2026-01-09,AMD,2025-09-30,2025-12-01,growth_tech,Stacking,0.07505881327442997,0.1126243668211562,0.39531924137006536,-0.08242254607045518,-0.06841211618816989,0.026380064506093783,-0.25052014272247547,-1.208774653359866,-0.8202523315938302,1.3250090879745562,-1.8719913975936497,-1.1565486803573353,-1.5974744725602998,-0.40179824420208077,16,0
2026-01-09,INTU,2025-09-30,2025-12-01,growth_tech,Stacking,0.026242889258774865,0.008131279215396442,-0.5660577753245,-0.021645335500015017,-0.013799508213781841,0.01649396736261437,-0.07939831516830476,-0.20650568411171527,-0.46436110141563536,-0.029329279121518163,1.008691175802789,-0.13986014969165184,-0.19318081690417543,-0.41690699195637015,17,0
2026-01-09,NFLX,2025-09-30,2025-12-01,growth_tech,Stacking,0.052250144476050635,0.024883101089937076,-0.05387291070572426,-0.03505554990933357,-0.26391577414858514,0.01045347654727447,-0.2793330040281804,-0.427651762506459,-2.094281166995713,-0.8568417290373217,-2.357030089847903,-1.0112358630802751,-1.3967621981195897,-0.5910286256712705,18,0
2026-01-09,AVGO,2025-09-30,2025-12-01,growth_tech,Stacking,0.05663029125072373,0.05081976758652647,0.03238935972818375,-0.1630625567356193,0.004358956802815506,0.03372922118776444,-0.2105480118280898,-2.538598441107758,-0.34602874753985513,2.3318012239745465,-1.1990964049748558,-1.60622926217572,-2.2185925132112008,-0.86800338944757,19,0
2026-01-09,PEP,2025-09-30,2025-12-01,defensive,RF,-0.03399657502304097,-0.024599292629951537,-1.7524091069096295,-0.06539745255615947,-0.06771506225150126,0.009070494773334613,-0.09992792001559103,-0.9280160800760551,-0.8157098753328529,-1.0463022664220603,0.6630936809211302,-0.43345018034149846,-0.5986999163824782,-1.2909254306987687,20,0
